,internet_service_type_id,payment_type_id,contract_type_id,customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,contract_type,payment_type,internet_service_type
66,2,3,1,0112-QAWRZ,Male,0,Yes,Yes,16,Yes,Yes,No,No,Yes,No,Yes,No,Yes,90.8,1442.2,No,Month-to-month,Bank transfer (automatic),Fiber optic
67,1,1,2,0112-QWPNC,Male,0,Yes,No,49,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,84.35,4059.35,Yes,One year,Electronic check,DSL
68,1,3,3,0114-IGABW,Female,0,Yes,No,71,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,58.25,4145.9,No,Two year,Bank transfer (automatic),DSL
69,2,1,1,0114-PEGZZ,Female,0,No,No,33,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,107.55,3645.5,No,Month-to-month,Electronic check,Fiber optic
70,3,3,1,0114-RSRRW,Female,0,Yes,No,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.95,187.75,No,Month-to-month,Bank transfer (automatic),None
71,2,1,1,0115-TFERT,Male,0,Yes,No,21,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,111.2,2317.1,Yes,Month-to-month,Electronic check,Fiber optic
72,1,3,1,0117-LFRMW,Male,0,Yes,Yes,37,No,No phone service,Yes,Yes,Yes,No,No,No,No,40.2,1448.8,Yes,Month-to-month,Bank transfer (automatic),DSL
73,2,4,1,0118-JPNOY,Female,1,No,No,26,Yes,No,Yes,No,No,No,Yes,No,Yes,85.8,2193.65,No,Month-to-month,Credit card (automatic),Fiber optic
74,1,2,2,0121-SNYRK,Male,0,No,No,50,No,No phone service,Yes,No,No,Yes,No,No,Yes,35.4,1748.9,No,One year,Mailed check,DSL
75,2,1,1,0122-OAHPZ,Female,0,No,No,7,Yes,Yes,No,No,No,No,No,No,Yes,73.85,511.25,Yes,Month-to-month,Electronic check,Fiber optic
76,1,2,3,0123-CRBRT,Female,0,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,88.1,5526.75,No,Two year,Mailed check,DSL
77,2,1,1,0125-LZQXK,Male,0,No,No,15,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,101.35,1553.95,Yes,Month-to-month,Electronic check,Fiber optic
78,1,2,1,0128-MKWSG,Female,0,No,Yes,26,No,No phone service,Yes,No,No,Yes,No,Yes,No,45.8,1147,No,Month-to-month,Mailed check,DSL
79,2,1,1,0129-KPTWJ,Male,0,Yes,No,72,Yes,No,No,No,Yes,No,Yes,Yes,Yes,94.65,6747.35,No,Month-to-month,Electronic check,Fiber optic
80,3,3,2,0129-QMPDR,Male,0,Yes,Yes,44,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.5,865.05,No,One year,Bank transfer (automatic),None
81,2,4,1,0130-SXOUN,Male,0,No,No,66,Yes,Yes,No,Yes,No,No,No,Yes,No,89.4,5976.9,No,Month-to-month,Credit card (automatic),Fiber optic
82,2,1,1,0133-BMFZO,Female,0,No,No,2,Yes,No,Yes,Yes,No,Yes,No,No,Yes,86.25,181.65,Yes,Month-to-month,Electronic check,Fiber optic
83,1,3,2,0134-XWXCE,Female,1,No,No,44,Yes,No,No,No,Yes,Yes,Yes,Yes,No,74.85,3268.05,No,One year,Bank transfer (automatic),DSL
84,2,3,1,0135-NMXAP,Female,0,No,No,12,Yes,Yes,No,Yes,No,No,Yes,No,Yes,89.75,1052.4,Yes,Month-to-month,Bank transfer (automatic),Fiber optic
85,2,1,3,0136-IFMYD,Male,1,Yes,No,69,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,109.95,7634.25,No,Two year,Electronic check,Fiber optic
86,2,2,1,0137-OCGAB,Female,0,No,No,1,Yes,Yes,No,Yes,No,No,No,No,Yes,80.2,80.2,Yes,Month-to-month,Mailed check,Fiber optic
87,3,2,1,0137-UDEUO,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.85,63.75,Yes,Month-to-month,Mailed check,None
88,2,1,1,0139-IVFJG,Female,0,Yes,No,2,Yes,No,Yes,Yes,No,No,Yes,No,No,90.35,190.5,No,Month-to-month,Electronic check,Fiber optic
89,2,3,1,0141-YEAYS,Female,1,No,No,27,Yes,Yes,No,Yes,Yes,No,No,No,Yes,86.45,2401.05,No,Month-to-month,Bank transfer (automatic),Fiber optic
90,3,1,1,0142-GVYSN,Male,0,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.3,511.25,No,Month-to-month,Electronic check,None
91,2,1,1,0147-ESWWR,Female,1,Yes,No,39,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,101.25,3949.15,No,Month-to-month,Electronic check,Fiber optic
92,2,3,1,0148-DCDOS,Male,0,No,No,25,Yes,Yes,No,No,No,No,Yes,Yes,Yes,94.7,2362.1,Yes,Month-to-month,Bank transfer (automatic),Fiber optic
93,2,2,1,0151-ONTOV,Female,0,No,No,1,Yes,No,No,No,No,No,No,No,No,70.9,70.9,Yes,Month-to-month,Mailed check,Fiber optic
94,1,1,1,0156-FVPTA,Male,0,Yes,No,22,Yes,No,Yes,No,No,Yes,No,No,Yes,54.2,1152.7,Yes,Month-to-month,Electronic check,DSL
95,2,1,3,0164-APGRB,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,114.9,8496.7,No,Two year,Electronic check,Fiber optic
96,3,3,3,0164-XAIRP,Female,0,No,No,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.55,470.2,No,Two year,Bank transfer (automatic),None
97,2,1,1,0168-XZKBB,Female,0,Yes,No,19,Yes,Yes,No,No,No,No,Yes,No,Yes,86.85,1564.4,No,Month-to-month,Electronic check,Fiber optic
98,3,4,3,0174-QRVVY,Male,0,Yes,Yes,71,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.35,1847.55,No,Two year,Credit card (automatic),None
99,2,3,1,0177-PXBAT,Male,1,Yes,No,33,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,109.9,3694.7,No,Month-to-month,Bank transfer (automatic),Fiber optic
100,3,2,1,0178-CIIKR,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.95,58,No,Month-to-month,Mailed check,None
101,2,1,1,0178-SZBHO,Male,0,Yes,Yes,47,Yes,Yes,No,Yes,No,No,Yes,No,No,87.2,4017.45,No,Month-to-month,Electronic check,Fiber optic
102,2,2,3,0181-RITDD,Male,0,Yes,Yes,62,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,108.15,6825.65,No,Two year,Mailed check,Fiber optic
103,2,3,2,0186-CAERR,Male,0,No,No,71,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.3,8309.55,No,One year,Bank transfer (automatic),Fiber optic
104,2,1,1,0187-QSXOE,Male,1,Yes,No,7,Yes,No,No,No,No,No,Yes,Yes,Yes,89.0,605.45,No,Month-to-month,Electronic check,Fiber optic
105,2,2,1,0187-WZNAB,Female,0,Yes,Yes,27,Yes,No,Yes,No,No,No,No,No,No,74.4,1972.35,No,Month-to-month,Mailed check,Fiber optic
106,3,2,1,0188-GWFLE,Male,0,No,No,2,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.05,33.7,No,Month-to-month,Mailed check,None
107,1,3,3,0191-EQUUH,Female,0,No,Yes,25,No,No phone service,Yes,No,No,Yes,No,No,No,35.05,844.45,No,Two year,Bank transfer (automatic),DSL
108,1,1,1,0191-ZHSKZ,Male,1,No,No,30,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,74.75,2111.3,No,Month-to-month,Electronic check,DSL
109,2,4,2,0193-ESZXP,Female,1,Yes,No,58,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,105.5,6205.5,Yes,One year,Credit card (automatic),Fiber optic
110,2,1,1,0195-IESCP,Male,0,Yes,No,10,Yes,Yes,No,No,No,No,No,Yes,Yes,85.25,855.3,Yes,Month-to-month,Electronic check,Fiber optic
111,2,4,1,0196-JTUQI,Female,0,No,No,9,Yes,Yes,No,No,No,No,No,No,Yes,75.2,633.85,No,Month-to-month,Credit card (automatic),Fiber optic
112,2,1,1,0196-VULGZ,Female,1,Yes,No,6,Yes,Yes,No,No,No,No,No,Yes,Yes,84.35,474.9,Yes,Month-to-month,Electronic check,Fiber optic
113,2,3,2,0197-PNKNK,Female,0,Yes,Yes,69,Yes,Yes,Yes,No,Yes,No,No,No,No,84.45,5848.6,No,One year,Bank transfer (automatic),Fiber optic
114,2,3,3,0201-MIBOL,Female,1,No,No,66,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,102.4,6471.85,No,Two year,Bank transfer (automatic),Fiber optic
115,2,4,2,0201-OAMXR,Female,0,No,No,70,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,115.55,8127.6,Yes,One year,Credit card (automatic),Fiber optic
116,3,3,2,0203-HHYIJ,Male,0,No,No,25,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.3,676.35,Yes,One year,Bank transfer (automatic),None
117,3,2,3,0206-OYVOC,Female,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.25,864.2,No,Two year,Mailed check,None
118,2,2,2,0206-TBWLC,Female,0,Yes,No,54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,114.65,6049.5,No,One year,Mailed check,Fiber optic
119,2,1,1,0207-MDKNV,Female,0,No,No,15,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,105.1,1582.75,Yes,Month-to-month,Electronic check,Fiber optic
120,3,3,1,0208-BPQEJ,Female,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.4,198.1,No,Month-to-month,Bank transfer (automatic),None
121,1,1,1,0212-ISBBF,Female,0,No,No,22,No,No phone service,No,Yes,No,No,Yes,Yes,Yes,50.35,1098.85,No,Month-to-month,Electronic check,DSL
122,1,3,3,0214-JHPFW,Female,0,Yes,No,70,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,57.8,4039.3,No,Two year,Bank transfer (automatic),DSL
123,2,4,1,0215-BQKGS,Male,0,No,No,30,Yes,No,Yes,Yes,Yes,No,No,No,Yes,84.3,2438.6,No,Month-to-month,Credit card (automatic),Fiber optic
124,2,3,2,0218-QNVAS,Male,0,Yes,Yes,71,Yes,Yes,No,Yes,No,No,Yes,Yes,No,100.55,7113.75,No,One year,Bank transfer (automatic),Fiber optic
125,3,4,2,0219-QAERP,Male,0,Yes,No,30,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.8,576.65,No,One year,Credit card (automatic),None
126,2,3,1,0219-YTZUE,Male,0,Yes,Yes,4,Yes,Yes,No,Yes,Yes,No,No,No,Yes,84.8,371.9,Yes,Month-to-month,Bank transfer (automatic),Fiber optic
127,2,1,1,0220-EBGCE,Male,0,No,No,2,Yes,No,No,No,Yes,No,No,Yes,Yes,85.85,167.3,Yes,Month-to-month,Electronic check,Fiber optic
128,3,3,2,0221-NAUXK,Male,0,No,Yes,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.95,219.5,No,One year,Bank transfer (automatic),None
129,2,1,1,0221-WMXNQ,Male,1,No,No,4,Yes,No,Yes,No,No,No,No,No,No,75.35,273.4,No,Month-to-month,Electronic check,Fiber optic
130,1,4,1,0222-CNVPT,Male,1,No,No,52,No,No phone service,Yes,No,No,No,Yes,Yes,Yes,48.8,2555.05,No,Month-to-month,Credit card (automatic),DSL
131,1,1,1,0224-HJAPT,Male,0,No,No,5,Yes,Yes,No,No,No,No,No,No,No,47.15,223.15,Yes,Month-to-month,Electronic check,DSL
132,3,2,3,0224-NIJLP,Male,0,Yes,Yes,8,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.15,165.5,No,Two year,Mailed check,None
133,1,1,1,0224-RLWWD,Female,1,No,No,2,Yes,No,No,No,No,No,No,No,Yes,44.3,89.3,No,Month-to-month,Electronic check,DSL
134,2,1,1,0225-ZORZP,Male,0,No,No,3,Yes,No,No,Yes,No,No,No,Yes,No,84.3,235.05,No,Month-to-month,Electronic check,Fiber optic
135,1,1,1,0228-MAUWC,Male,0,No,No,19,Yes,Yes,No,No,Yes,Yes,No,No,No,59.55,1144.6,No,Month-to-month,Electronic check,DSL
136,1,3,3,0229-LFJAF,Male,0,No,No,72,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,69.65,4908.25,No,Two year,Bank transfer (automatic),DSL
137,1,3,2,0230-UBYPQ,Male,1,Yes,No,63,No,No phone service,Yes,No,No,Yes,No,No,No,36.1,2298.9,No,One year,Bank transfer (automatic),DSL
138,1,3,3,0230-WEQUW,Male,0,Yes,No,66,No,No phone service,Yes,Yes,Yes,Yes,Yes,No,Yes,56.6,3789.2,No,Two year,Bank transfer (automatic),DSL
139,2,1,1,0231-LXVAP,Male,0,No,No,1,Yes,No,No,No,No,Yes,No,No,Yes,75.9,75.9,Yes,Month-to-month,Electronic check,Fiber optic
140,2,3,2,0233-FTHAV,Female,0,No,No,60,Yes,Yes,No,No,Yes,No,No,No,Yes,79.2,4765,No,One year,Bank transfer (automatic),Fiber optic
141,1,4,2,0234-TEVTT,Female,0,Yes,Yes,48,No,No phone service,Yes,No,Yes,No,No,Yes,No,45.0,2196.3,No,One year,Credit card (automatic),DSL
142,2,4,1,0235-KGSLC,Female,0,No,No,1,Yes,No,No,No,Yes,No,Yes,No,Yes,85.55,85.55,Yes,Month-to-month,Credit card (automatic),Fiber optic
143,2,1,1,0236-HFWSV,Male,0,No,No,15,Yes,Yes,No,No,No,No,Yes,Yes,Yes,93.35,1444.65,Yes,Month-to-month,Electronic check,Fiber optic
144,2,3,1,0237-YFUTL,Female,0,Yes,No,50,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,109.65,5405.8,No,Month-to-month,Bank transfer (automatic),Fiber optic
145,1,4,3,0238-WHBIQ,Male,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,89.7,6339.3,No,Two year,Credit card (automatic),DSL
146,2,2,1,0239-OXEXL,Female,0,No,No,46,Yes,Yes,Yes,Yes,No,No,No,No,No,84.25,3847.6,No,Month-to-month,Mailed check,Fiber optic
147,1,3,3,0244-LGNFY,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,92.65,6733,No,Two year,Bank transfer (automatic),DSL
148,3,2,1,0247-SLUJI,Male,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.7,19.7,No,Month-to-month,Mailed check,None
149,1,1,1,0248-IPDFW,Female,0,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,50.1,50.1,No,Month-to-month,Electronic check,DSL
150,2,3,3,0248-PGHBZ,Female,1,No,No,67,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,92.45,6140.85,No,Two year,Bank transfer (automatic),Fiber optic
151,1,1,3,0253-ZTEOB,Female,0,Yes,Yes,48,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,79.65,3870.3,No,Two year,Electronic check,DSL
152,2,1,3,0254-FNMCI,Female,0,No,No,72,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,109.9,7624.2,No,Two year,Electronic check,Fiber optic
